key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,sample_size,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,2,1.0,0.23774437510817342,0.85,30.906768764062548,2.041913137395305,34.29590002707084,0.162762951
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,2,1.0,0.2852932501298081,0.82,31.69925001442313,1.6721713864015415,34.671090651416016,0.089006793
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,10,0.8,0.2916331001326927,0.648,14.518256506605791,0.5142806998499645,16.059592906923065,0.006074754999999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,100,0.44,0.15976422007269253,0.591,12.930124080883191,0.38557545181914527,14.252412370628543,0.004572723660000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,100,0.41,0.14962046006807714,0.6113999999999999,12.781137605815404,0.41089575044598414,14.161079429202303,0.0047232110599999995
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,100,0.93,0.24788813511278884,0.8173999999999999,29.68317771350582,1.7161341144014342,32.69486017599672,0.09150281754
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,100,0.83,0.2634207676198562,0.7775000000000002,32.4695417897736,4.594617382183646,38.296467516267946,1.1291593720299995
100,10,10,0.02,0.9,100,4,linear,0,0.4635219581793357,100,0.87,0.27784392637641875,0.7902999999999999,41.32789720630415,4.588193233357247,47.168686303981325,0.9238125527299996
100,10,10,0.02,0.9,100,2,linear,0,0.4635219581793357,100,0.87,0.2711870838733899,0.8012000000000001,23.67141494827048,4.767025702452945,29.708312606301206,0.9001843744500002
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,100,0.88,0.2789534001269236,0.7992000000000004,33.37614034018611,4.721791255955361,39.36463362671781,0.9897050038900004
100,10,10,0.02,0.9,100,2,linear,0,0.4635219581793357,100,0.88,0.27388152012461586,0.8011000000000001,23.66982998576975,4.781756984380134,29.7213004294776,0.8192666025300003
100,10,10,0.02,0.9,100,4,linear,0,0.4635219581793357,100,0.87,0.27435700887483216,0.7995000000000002,42.339103281764245,4.7741038733927255,48.38038467448353,0.9028143221899999
100,10,10,0.02,0.9,100,1,linear,0,0.4635219581793357,100,0.8,-0.1993882825907215,1.1398000000000001,18.065402583219743,5.452640581273581,25.324583422815294,0.12365163691000003
